id,name,logo_light,logo_dark,image
18,ARTE,/brands/ARTE/ARTE_b.png,/brands/ARTE/ARTE_w.png,/placeholder.png
30,ASPESIE,/brands/ASPESI/aspesi_b.png,/brands/ASPESI/aspesi_w.png,/placeholder.png
11,AUTRY,/brands/AUTRY/AUTRY_b.png,/brands/AUTRY/AUTRY_w.png,/AUTRY_b.png
25,BISOUS SKATEBOARDS,/brands/BISOUS SKATEBOARDS/bisous_b.png,/brands/BISOUS SKATEBOARDS/bisous_w.png,/placeholder.png
1,C.P.COMPANY,/brands/CP COMPANY/CP_2_b.png,/brands/CP COMPANY/CP_2_w.png,/placeholder.png
17,CARHART,/brands/CARHARTT/carhartt_b.png,/brands/CARHARTT/carhartt_w.png,/placeholder.png
21,CHLOE,/brands/CHLOE/CHLOE_b.png,/brands/CHLOE/CHLOE_w.png,/placeholder.png
23,GIVENCHY,/brands/GIVENCHY/GIVENCHY_b.png,/brands/GIVENCHY/GIVENCHY_w.png,/placeholder.png
20,GOLDEN GOOSE,/brands/GOLDEN GOOSE/GOLDEN_b.png,/brands/GOLDEN GOOSE/GOLDEN_w.png,/placeholder.png
7,HERNO,/brands/HERNO/HERNO_b.png,/brands/HERNO/HERNO_w.png,/placeholder.png
13,JACOB COHEN,/brands/JACOBCOHEN/jacob_b.png,/brands/JACOBCOHEN/jacob_w.png,/placeholder.png
28,K-WAY,/brands/K-WAY/KWAY_b.png,/brands/K-WAY/KWAY_w.png,/placeholder.png
27,LANVIN,/brands/LANVIN/LANVIN_b.png,/brands/LANVIN/LANVIN_w.png,/placeholder.png
24,MARGIELA,/brands/MARGIELA/MARGIELA_b.png,/brands/MARGIELA/MARGIELA_w.png,/placeholder.png
8,LES DEUX,/brands/LESDEUX/lesdeux_b.png,/brands/LESDEUX/lesdeux_w.png,/placeholder.png
36,MANUEL RITZ,/brands/MANUELRITZ/manuel_b.png,/brands/MANUELRITZ/manuel_w.png,/placeholder.png
31,AFTER LABEL,/brands/AFTER LABEL/after_b.png,/brands/AFTER LABEL/after_w.png,/placeholder.png
5,APC,/brands/APC/apc_b.png,/brands/APC/apc_w.png,/placeholder.png
6,AXEL ARIGATO,/brands/AXEL ARIGATO/axel_b.png,/brands/AXEL ARIGATO/axel_w.png,/placeholder.png
14,MARNI,/brands/MARNI/MARNI_b.png,/brands/MARNI/MARNI_w.png,/placeholder.png
9,OFF-WHITE,/brands/OFF-WHITE/OFF-WHITE_b.png,/brands/OFF-WHITE/OFF-WHITE_w.png,/placeholder.png
10,PALM ANGELS,/brands/PALM ANGELS/PALMANGELS_b.png,/brands/PALM ANGELS/PALMANGELS_w.png,/placeholder.png
29,PYRENEX,/brands/PYRENEX/PYRENEX_b.png,/brands/PYRENEX/PYRENEX_w.png,/placeholder.png
35,RAINS,/brands/RAINS/rains_b.png,/brands/RAINS/rains_w.png,/placeholder.png
4,RRD,/brands/RRD/rrd_b.png,/brands/RRD/rrd_w.png,/placeholder.png
12,SALOMON,/brands/SALOMON/SALOMON_2_b.png,/brands/SALOMON/SALOMON_2_w.png,/placeholder.png
2,STONE ISLAND,/brands/STONE ISLAND/STONE_ISLAND_2_b.png,/brands/STONE ISLAND/STONE_ISLAND_2_w.png,/STONE_ISLAND_2_b.png
16,TOPOLOGIE,/brands/TOPOLOGIE/topo_b.png,/brands/TOPOLOGIE/topo_w.png,/placeholder.png
22,MONCLERC,/brands/MONCLER/MONCLER_b.png,/brands/MONCLER/MONCLER_w.png,/placeholder.png
19,DOUCAL'S,/brands/DOUCALS/doucals_b.png,/brands/DOUCALS/doucals_w.png,/placeholder.png
32,MERCER,/brands/MERCER/mercer_b.png,/brands/MERCER/mercer_w.png,/placeholder.png
33,PARAJUMPERS,/brands/PARAJUMPERS/parajumpers_b.png,/brands/PARAJUMPERS/parajumpers_w.png,/placeholder.png
15,PATAGONIA,/brands/PATAGONIA/patagonia_b.png,/brands/PATAGONIA/patagonia_w.png,/placeholder.png
26,NUMERO 21,/brands/NUMERO21/N21_b.png,/brands/NUMERO21/N21_w 2.png,/placeholder.png
34,WHITE SAND,/brands/WHITE%20SAND/white_b.png,/brands/WHITE%20SAND/white_w.png,/placeholder.png
